"Location","LocationName","Postcode","AddressLine","HB2014","HSCP2016","CA2011","IZ2011","DZ2011"
"A101H","Arran War Memorial Hospital","KA27 8LF","Lamlash, Isle of Arran","S08000015","S37000020","S12000021","S02002097","S01011176"
"A103H","Ayrshire Central Hospital","KA12 8SS","Kilwinning Road, Irvine","S08000015","S37000020","S12000021","S02002105","S01011213"
"A105H","Kirklandside Hospital","KA1 5LH","Kirklandside, Kilmarnock, Ayrshire","S08000015","S37000008","S12000008","S02001492","S01007961"
"A110H","Lady Margaret Hospital","KA28 0HF","College St, Millport, Isle of Cumbrae","S08000015","S37000020","S12000021","S02002128","S01011328"
"A111H","University Hospital Crosshouse","KA2 0BE","Kilmarnock Road, Kilmarnock, Ayrshire","S08000015","S37000008","S12000008","S02001504","S01008027"
"A112H","Brooksby Day Hospital","KA30 8NE","18 Greenock Road, Largs","S08000015","S37000020","S12000021","S02002129","S01011329"
"A114H","Warrix Avenue Mental Health Community Rehabilitation Unit","KA12 0DP","Warrix Avenue, Irvine","S08000015","S37000020","S12000021","S02002109","S01011229"
"A201H","Ailsa Hospital","KA6 6AB","Dalmellington Road, Ayr","S08000015","S37000027","S12000028","S02002333","S01012444"
"A202E","Maybole Day Hospital","KA19 7BY","6 High Street, Maybole","S08000015","S37000027","S12000028","S02002332","S01012439"
"A208H","Biggart Hospital","KA9 2HQ","Biggart Road, Prestwick","S08000015","S37000027","S12000028","S02002347","S01012529"
"A210H","University Hospital Ayr","KA6 6DX","Dalmellington Road, Ayr","S08000015","S37000027","S12000028","S02002333","S01012444"
"A211H","Arrol Park Resource Centre","KA7 4DW","10 Doonfoot Road, Ayr","S08000015","S37000027","S12000028","S02002335","S01012451"
"A214H","Three Towns Resource Centre","KA21 5RF","Nelson Road, Saltcoats","S08000015","S37000020","S12000021","S02002111","S01011237"
"A215H","East Ayrshire Community Hospital","KA18 1EF","Ayr Road, Cumnock","S08000015","S37000008","S12000008","S02001484","S01007918"
"A216H","Girvan Community Hospital","KA26 9HQ","Bridgemill, Girvan, Ayrshire","S08000015","S37000027","S12000028","S02002331","S01012433"
"A217H","Woodland View","KA12 8SS","Ayrshire Central Hospital, Kilwinning Road, Irvine","S08000015","S37000020","S12000021","S02002105","S01011213"
"B103H","The Knoll Hospital","TD11 3EL","Station Road, Duns","S08000016","S37000025","S12000026","S02002304","S01012305"
"B104H","Galavale House","TD1 3EB","Tweed Road, Galashiels","S08000016","S37000025","S12000026","S02002299","S01012282"
"B105H","Hawick Community  Hospital","TD9 7AH","Victoria Road, Hawick","S08000016","S37000025","S12000026","S02002319","S01012372"
"B108H","Andrew Lang Unit","TD7 4LH","Viewfield House, Selkirk","S08000016","S37000025","S12000026","S02002321","S01012384"
"B114H","Kelso Hospital","TD5 7JP","Inch Road, Kelso","S08000016","S37000025","S12000026","S02002310","S01012337"
"B118H","Hay Lodge Hospital","EH45 8JG","Neidpath Road, Peebles","S08000016","S37000025","S12000026","S02002293","S01012253"
"B120H","Borders General Hospital","TD6 9BS","Melrose","S08000016","S37000025","S12000026","S02002320","S01012377"
"B121H","Hawick Psychiatric Day Hospital","TD9 7AH","c/o Hawick Community Hospital, Victoria Road, Hawick","S08000016","S37000025","S12000026","S02002319","S01012372"
"B122H","Hawick Psychogeriatric Day Hospital","TD9 0BG","West Port, Drumlanrig Square, Hawick","S08000016","S37000025","S12000026","S02002318","S01012370"
"B123H","Peebles Psychogeriatric Day Hospital","EH45 8BD","Firholm, Innerleithen Road, Peebles","S08000016","S37000025","S12000026","S02002293","S01012255"
"B124H","Galashiels Psychogeriatric Day Hospital","TD1 1ST","Sime Place, Galashiels","S08000016","S37000025","S12000026","S02002297","S01012275"
"B127H","Eyemouth Day Hospital","TD14 5DA","Houndlaw Park, Eyemouth","S08000016","S37000025","S12000026","S02002306","S01012316"
"B128H","Crumhaugh House","TD9 0BA","Crumhaugh Road, Hawick","S08000016","S37000025","S12000026","S02002318","S01012371"
"B129H","Melburn Lodge","TD6 9BS","Borders General Hospital, Melrose","S08000016","S37000025","S12000026","S02002320","S01012377"
"B130H","Huntlyburn House","TD6 9BD","The Cottages, Huntlyburn, Melrose","S08000016","S37000025","S12000026","S02002320","S01012377"
"Y101H","Castle Douglas Community Hospital","DG7 1EE","Academy Street, Castle Douglas","S08000017","S37000006","S12000006","S02001415","S01007536"
"Y103H","Crichton Royal Hospital","DG1 4TG","Glencaple Road, Dumfries","S08000017","S37000006","S12000006","S02001427","S01007599"
"Y105H","Nithbank Hospital","DG1 2SA","Nithbank, Dumfries","S08000017","S37000006","S12000006","S02001427","S01007600"
"Y106H","Kirkcudbright Cottage Hospital","DG6 4BE","Townend, Kirkcudbright","S08000017","S37000006","S12000006","S02001414","S01007527"
"Y107H","Thomas Hope Hospital","DG13 0JX","Langholm","S08000017","S37000006","S12000006","S02001438","S01007647"
"Y108H","Lochmaben Hospital","DG11 1RQ","Lochmaben, Lockerbie","S08000017","S37000006","S12000006","S02001435","S01007632"
"Y109H","Moffat Community Hospital","DG10 9JY","Holmend, Moffat","S08000017","S37000006","S12000006","S02001437","S01007644"
